,代码,名称,行业,质押比例(%),质押股数(万股),质押市值(亿元),质押笔数,无限售股质押数(股),限售股质押数(股),近年来涨跌幅(%),日期
2762,002902,铭普光磁,电子元件,12.86,2700,79137,2,0,2700,102.66000913,2019-09-12T00:00:00
2763,002901,大博医疗,医疗行业,0,0.01,0.4385,1,0.01,0,39.02883179,2019-09-12T00:00:00
2764,002900,哈三联,医药制造,11.93,3777,45739.47,4,400,3377,-8.99370712,2019-09-12T00:00:00
2765,002899,英派斯,文教休闲,13.14,1577.15,22411.3015,3,0.15,1577,-40.67517924,2019-09-12T00:00:00
2766,002898,赛隆药业,医药制造,15.25,2440.32,35653.0752,3,848.32,1592,-17.49113473,2019-09-12T00:00:00
2767,002897,意华股份,电子元件,3.32,566.59,16170.4786,4,0.02,566.57,46.79991077,2019-09-12T00:00:00
2768,002896,中大力德,机械行业,5.63,450.02,11223.4988,3,0.02,450,-18.49806306,2019-09-12T00:00:00
2769,000600,建投能源,电力行业,0,1.3,7.67,9,1.3,0,20.03611169,2019-09-12T00:00:00
2770,000598,兴蓉环境,公用事业,0,2.25,10.71,7,2.25,0,14.27612612,2019-09-12T00:00:00
2771,000596,古井贡酒,酿酒行业,29.72,11400,1314876,1,11400,0,57.23718014,2019-09-12T00:00:00
2772,000597,东北制药,医药制造,24.4,14817.13,182250.699,5,14817.13,0,-0.96618358,2019-09-12T00:00:00
2773,000593,大通燃气,公用事业,46.37,16630.83,108266.7033,11,16630.83,0,-8.95104894,2019-09-12T00:00:00
2774,000595,宝塔实业,机械行业,12.32,9419.43,39279.0231,2,9419.43,0,13.62397813,2019-09-12T00:00:00
2775,000592,平潭发展,木业家具,23.74,45867.33,143564.7429,9,45867.33,0,16.79104479,2019-09-12T00:00:00
2776,000591,太阳能,电力行业,0,3.42,11.4228,21,3.42,0,5.60641664,2019-09-12T00:00:00
2777,000585,ST东电,输配电气,13.24,8149.49,16135.9902,1,8149.49,0,-1.49253734,2019-09-12T00:00:00
2778,000590,启迪古汉,医药制造,3.38,810,9890.1,1,810,0,30.17057567,2019-09-12T00:00:00
2779,000586,汇源通信,通讯行业,7.86,1520.17,20081.4457,10,1520.17,0,63.69268898,2019-09-12T00:00:00
2780,000589,贵州轮胎,汽车行业,10,7754,37219.2,1,7754,0,44.14414173,2019-09-12T00:00:00
2781,000587,金洲慈航,珠宝首饰,49.58,105287.08,242160.284,22,35528.65,69758.43,-22.81879193,2019-09-12T00:00:00
2782,000584,哈工智能,机械行业,26.89,16495.31,125529.3091,30,16495.31,0,-19.25325362,2019-09-12T00:00:00
2783,000576,广东甘化,食品饮料,40.64,18000,167760,3,18000,0,56.11390286,2019-09-12T00:00:00
2784,000582,北部湾港,港口水运,0,7.11,66.9762,20,7.11,0,14.07696978,2019-09-12T00:00:00
2785,000581,威孚高科,汽车行业,0,2.17,37.758,11,2.17,0,-0.78451668,2019-09-12T00:00:00
2786,000570,苏常柴A,机械行业,0,1.76,8.7824,2,1.76,0,23.13517993,2019-09-12T00:00:00
2787,000567,海德股份,多元金融,75.09,48145.99,450646.4664,6,6075.78,42070.21,15.89515925,2019-09-12T00:00:00
2788,000571,*ST大洲,煤炭采选,10.99,8947.89,21564.4149,2,8947.89,0,-24.45141312,2019-09-12T00:00:00
2789,000568,泸州老窖,酿酒行业,11.33,16599.95,1475569.5555,7,16599.95,0,121.18764587,2019-09-12T00:00:00
2790,000573,粤宏远A,房地产,20.08,13028,40386.8,11,13028,0,-2.87054056,2019-09-12T00:00:00
2791,000564,供销大集,商业百货,71.9,431964.81,1053994.1364,78,39878.55,392086.26,-24.45820441,2019-09-12T00:00:00
